id,bug.id,treatment,temp.avg,temp.var,hs.treat,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,date.4,mass.4,date.5,mass.5,date.hs,time.in.hs,time.out.hs,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.coc.late,num.coc.tot,num.fail.spin,num.fail.spin.late,num.fail.spin.tot,date.em.late,late.em,num.unem,load,date.postem.1,fed.postem.1,num.frass.postem.1,date.postem.2,fed.postem.2,num.frass.postem.2,date.postem.3,fed.postem.3,num.frass.postem.3,date.postem.4,fed.postem.4,num.frass.postem.4,date.postem.5,fed.postem.5,num.frass.postem.5,date.postem.6,fed.postem.6,num.frass.postem.6,date.postem.7,fed.postem.7,num.frass.postem.7,mass.postem.end,date.ecl,num.ecl,date.ecl.late,num.ecl.late,tot.ecl,live.fem,live.fem.late,live.male,live.unk,live.male.late,tot.dead,tot.dead.norm,tot.dead.late,dead.fem,dead.fem.late,dead.male,dead.male.late,dead.ad.unk,dead.ad.unk.late,dead.larv,dead.larv.late,dead.epup,dead.epup.late,dead.mpup.tot,dead.mpup.unk,dead.mpup.f,dead.mpup.m,dead.mpup.tot.late,dead.mpup.unk.late,dead.mpup.f.late,dead.mpup.m.late,dead.lpup.tot,dead.lpup.unk,dead.lpup.f,dead.lpup.m,dead.lpup.tot.late,dead.lpup.unk.late,dead.lpup.f.late,dead.lpup.m.late,wand,gen.notes,diss.notes,,,,,,,,,,,,,
31,,para,28,0,hs.4,,3/25/18,3/29/18,5:35,2,3/29/18,40.41,4/2/18,227.06,,,4/3/18,7:32,8:37,4/7/18,4,0,1209.96,69.00,63,,63,6,,6,,,,69.00,4/8/18,0,0,4/9/18,1,1,4/10/18,0,0,4/11/18,0,0,4/12/18,1,6,4/13/18,0,0,4/14/18,0,1,,4/12/18,60,,0,60,36,,24,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"day 2 postem, diet was chewed and had one piece of frass. ",,,,,,,,,,,,,,
32,,para,28,0,hs.5,,3/25/18,3/29/18,5:08,1,3/29/18,71.51,4/1/18,349.46,4/5/18,2206.81,4/6/18,7:31,8:36,4/8/18,5,0,4409.87,78.00,78,,78,0,,0,,,,78.00,4/9/18,0,0,4/10/18,0,0,4/11/18,0,0,4/12/18,1,1,4/13/18,1,1,4/14/18,1,2,4/16/18,1,10,4131.81,4/13/18,76,,0,76,18,,58,,,2,2,0,,,1,,,,,,,,0,,,,0,,,,1,,1,,0,,,,,"day 2 postem, diet was chewed and bug was attempting to eat but no frass. was weighed postem. on 4/16/18.",,,,,,,,,,,,,,
33,,para,28,0,0,,3/25/18,3/29/18,5:41,2,3/29/18,60.48,4/1/18,306.49,4/5/18,2641.59,,,,4/8/18,5,0,5806.21,171.00,166,,166,5,,5,,,,171.00,4/9/18,0,0,4/10/18,0,0,4/11/18,0,0,4/12/18,0,0,4/13/18,0,0,4/14/18,0,0,4/16/18,0,1,5157.04,4/13/18,138,,0,138,79,,59,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,was weighed postem. on 4/16/18.,horn damaged in ovp,,,,,,,,,,,,,
34,,para,28,0,hs.4,,3/26/18,3/30/18,6:25,1,3/30/18,68.08,4/2/18,262.45,4/7/18,1875.7,4/3/18,7:32,8:37,4/11/18,5,0,3214.48,69.00,34,,34,35,,35,,,,69.00,4/12/18,0,0,,,,4/14/18,0,0,,,,4/16/18,1,2,4/17/18,1,2,4/18/18,1,5,2936.73,4/15/18,13,,0,13,6,,7,,,21,21,0,,,,,,,9,,5,,4,,,4,0,,,,3,,1,2,0,,,,,removed cuticle from last proleg during molt into 4th,,,,,,,,,,,,,,
35,,para,28,0,hs.5,,3/26/18,3/30/18,6:23,2,3/30/18,55.22,4/3/18,330.87,4/6/18,1400.88,4/7/18,7:31,8:39,4/9/18,5,0,2770.81,123.00,120,,120,3,,3,,,,123.00,4/10/18,0,0,4/11/18,0,0,4/12/18,0,0,4/13/18,1,2,,,,,,,4/16/18,1,5,2710.36,4/14/18,23,,0,23,10,,13,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
36,,para,28,0,hs.4,,3/26/18,3/30/18,6:24,1,3/30/18,73.35,4/2/18,308.96,,,4/3/18,7:32,8:37,4/9/18,4,0,1410.62,34.00,28,,28,6,,6,,,,34.00,4/10/18,1,1,4/11/18,0,0,4/12/18,0,0,4/13/18,1,4,,,,,,,4/16/18,1,6,1386.43,4/13/18,16,,0,16,9,,7,,,12,11,1,4,,3,,3,,,,1,,0,,,,1,1,,,0,,,,0,,,,,"day 1 postem, diet chewed and had 1 piece of frass.",,,,,,,,,,,,,,
37,,para,28,0,hs.5,3/31/18,3/26/18,3/30/18,6:20,1,3/30/18,62.08,,,,,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
38,,para,28,0,hs.5,,3/26/18,3/30/18,6:22,2,3/30/18,59.13,4/3/18,233.39,4/6/18,812.29,4/7/18,7:31,8:39,4/9/18,5,0,2221.36,52.00,51,,51,1,,1,,,,52.00,4/10/18,1,2,4/11/18,1,1,4/12/18,1,5,4/13/18,1,4,,,,,,,4/16/18,1,9,2286.28,4/13/18,43,,0,43,2,,41,,,7,7,0,,,5,,,,,,2,,0,,,,0,,,,0,,,,0,,,,,"day 1 postem, diet chewed and had 2 pieces of frass. adult wasps miscounted, should be 44",,,,,,,,,,,,,,
39,,para,28,0,0,,3/26/18,3/30/18,6:29,2,3/30/18,62.05,4/1/18,269.11,4/5/18,1969.39,,,,4/9/18,5,0,5337.54,138.00,102,,102,36,,36,,,,138.00,4/10/18,0,0,4/11/18,0,0,,,,4/13/18,1,2,,,,,,,4/16/18,0,0,4861.63,4/13/18,70,,0,70,39,,31,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"day 4 postem, frass, diet maybe looks chewed, but not a lot eaten",,,,,,,,,,,,,,
40,,para,28,0,0,,3/26/18,3/30/18,6:27,2,3/30/18,68.69,4/2/18,272.17,4/6/18,1932.06,,,,4/10/18,5,0,4576.05,152.00,94,,94,58,,58,,,,152.00,4/11/18,0,0,4/12/18,0,0,4/13/18,0,0,,,,,,,4/16/18,1,0,4/17/18,0,0,4205.26,4/15/18,59,,0,59,21,,38,,,35,35,0,1,,,,,,8,,11,,3,,1,2,0,,,,12,,6,6,0,,,,,,,,,,,,,,,,,,,
41,,para,28,10,hs.4,,3/26/18,3/30/18,12:13,1,3/30/18,46.18,4/4/18,188.42,4/8/18,441.66,4/5/18,7:48,8:37,4/15/18,5,0,895.82,37.00,16,,16,21,,21,,,,37.00,4/16/18,0,0,,,,,,,,,,,,,,,,,,,895.82,4/20/18,3,,0,3,1,,2,,,13,13,0,,,1,,,,4,,2,,1,,,1,0,,,,5,,,5,0,,,,,"HS chamber program lagged during HS (was still at 28 at 7:44, got to setpoint at 7:48). removed cuticle from 5th prolegs after molt to 5th. died 4/16/18, 1 day postem. cocoons were removed and bug weighed 4/16/18, 1 day postem.",,,,,,,,,,,,,,
42,,para,28,10,hs.5,,3/26/18,3/30/18,12:16,1,3/30/18,48.62,4/3/18,268.56,4/7/18,1362.59,4/8/18,7:31,8:38,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,removed cuticle from last proleg during molt into 4th. wandered 4/12/18. Mass: 8227.84,,,,,,,,,,,,,,
43,,para,28,10,hs.5,,3/26/18,3/30/18,12:11,1,3/30/18,43.06,4/4/18,317.03,4/7/18,1038.93,4/8/18,7:31,8:38,4/13/18,5,0,2904.74,36.00,31,,31,5,,5,,,,36.00,4/14/18,0,0,4/15/18,0,0,4/16/18,1,3,4/17/18,1,1,4/18/18,1,2,4/19/18,0,0,4/20/18,0,0,2625.43,4/19/18,18,,0,18,7,,10,1,,13,13,0,,,2,,,,8,,,,0,,,,0,,,,3,,1,2,0,,,,,removed cuticle from last proleg during molt into 4th,,,,,,,,,,,,,,
44,,para,28,10,hs.4,,3/26/18,3/30/18,12:12,2,3/30/18,46.87,4/2/18,193.39,4/6/18,948.19,4/3/18,7:32,8:37,4/13/18,5,0,4001.37,78.00,60,,60,18,,18,,,,78.00,4/14/18,0,0,4/15/18,0,1,4/16/18,1,1,4/17/18,0,1,4/18/18,1,1,4/19/18,1,1,4/20/18,0,1,3344.13,4/19/18,40,,0,40,20,,19,1,,20,20,0,,,5,,,,3,,1,,0,,,,0,,,,11,,4,7,0,,,,,,,,,,,,,,,,,,,
45,,para,28,10,hs.5,,3/26/18,3/30/18,12:14,2,3/30/18,33.49,4/2/18,178.47,4/6/18,916.56,,,,4/13/18,5,0,2734.74,76.00,72,,72,4,,4,,,,76.00,4/14/18,0,0,4/15/18,0,0,4/16/18,0,0,4/17/18,0,1,4/18/18,0,0,4/19/18,0,0,4/20/18,0,0,2107.89,4/19/18,22,,0,22,16,,6,,,50,50,0,28,,5,,,,1,,2,,2,,2,,0,,,,12,,8,4,0,,,,,,,,,,,,,,,,,,,
46,,para,28,10,0,,3/25/18,3/30/18,12:09,2,3/30/18,26.28,4/4/18,105.65,4/8/18,533.93,,,,4/13/18,5,0,1548.34,107.00,88,,88,19,,19,,,,107.00,4/14/18,0,0,4/15/18,0,0,4/16/18,0,0,4/17/18,0,1,4/18/18,0,1,,,,,,,,4/19/18,63,,0,63,4,,59,,,25,25,0,1,,18,,,,3,,,,2,,,2,0,,,,1,,,1,0,,,,,died on day 5 postem,,,,,,,,,,,,,,
47,,para,28,10,hs.4,,3/26/28,3/31/18,11:30,1,3/31/18,42.3,4/5/18,98.17,4/11/18,354.17,4/6/18,7:31,8:36,4/18/18,5,0,984.03,71.00,47,6,53,17,1,18,4/21/18,1,38,110.00,4/19/18,0,0,4/20/18,0,0,4/21/18,0,1,4/22/18,1,3,4/23/18,0,0,,,,,,,667.91,4/24/18,21,4/26/18,3,24,0,,21,,3,29,26,3,,,11,,,,12,3,1,,0,,,,0,,,,2,,,2,0,,,,,"removed cuticle from last proleg after molt into 4th. removed cuticle from 4th-5th prolegs after molt to 5th. 4/21/18, found 6 extra cocoons and 1 no spin, bug mass = 863.77. died 4/23/18, 2 days before culling date.","3 early 2nds, others late 2nds",,,,,,,,,,,,,
48,,para,28,10,hs.5,,3/27/18,3/31/18,11:29,1,3/31/18,45.6,4/4/18,292.58,4/8/18,1211.88,4/9/18,7:31,8:36,4/14/18,5,0,3006.69,75.00,64,,64,11,,11,,,,75.00,4/15/18,0,0,4/16/18,0,0,4/17/18,1,2,4/18/18,1,4,4/19/18,0,0,4/20/18,0,0,4/21/18,0,0,2556.71,4/20/18,27,,0,27,8,,19,,,37,37,0,2,,1,,,,14,,12,,1,,,1,0,,,,7,,1,6,0,,,,,removed cuticle from 3rd-5th prolegs after molt to 5th,,,,,,,,,,,,,,
49,,para,28,10,0,,3/27/18,3/31/18,11:27,2,3/31/18,76.2,4/2/18,173.87,4/6/18,942.54,,,,4/13/18,5,0,4008.16,68.00,58,,58,10,,10,,,,68.00,4/14/18,0,0,4/15/18,0,0,4/16/18,0,0,4/17/18,1,1,4/18/18,1,3,4/19/18,0,2,4/20/18,1,1,3757.02,4/19/18,27,,0,27,8,,19,,,31,31,0,10,,8,,,,5,,1,,1,,,1,0,,,,6,,2,4,0,,,,,,,,,,,,,,,,,,,
51,,para,28,10,hs.5,,3/27/18,3/31/18,11:23,1,3/31/18,49.13,4/4/18,231.92,4/8/18,1072.75,4/9/18,7:31,8:36,4/13/18,5,0,2542.38,50.00,31,,31,19,,19,,,,50.00,4/14/18,0,0,4/15/18,0,0,4/16/18,0,0,4/17/18,0,0,4/18/18,0,1,4/19/18,0,0,4/20/18,0,0,2285.23,4/20/18,28,,0,28,24,,4,,,3,3,0,1,,,,,,,,1,,0,,,,0,,,,1,,1,,0,,,,,removed cuticle from 5th prolegs after molt to 5th,,,,,,,,,,,,,,
52,,para,28,10,0,,3/27/18,3/31/18,11:21,1,3/31/18,58.7,4/5/18,323.14,4/9/18,1465.67,,,,4/15/18,5,0,3308.04,58.00,35,,35,23,,23,,,,58.00,4/16/18,0,0,4/17/18,0,0,4/18/18,0,2,4/19/18,1,0,4/20/18,1,2,4/21/18,0,1,4/22/18,1,2,3131.08,4/20/18,25,,0,25,3,,22,,,10,10,0,1,,1,,,,2,,4,,0,,,,0,,,,2,,,2,0,,,,,removed cuticle from last prolegs during 4th-5th molt,,,,,,,,,,,,,,
53,,para,28,10,hs.4,4/4/18,3/27/18,3/31/18,11:18,1,3/31/18,44.91,,,,,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
54,,para,28,0,hs.4,,3/27/18,3/31/18,12:16,1,3/31/18,78.04,4/3/18,247.95,4/7/18,1340.75,4/4/18,7:28,8:37,4/11/18,5,0,3017.65,110.00,76,,76,34,,34,,,,110.00,4/12/18,0,0,,,,4/14/18,0,0,,,,4/16/18,1,7,4/17/18,1,4,4/18/18,0,2,2531.63,4/15/18,63,,0,63,0,,62,1,,13,13,0,,,3,,,,1,,3,,2,,,2,0,,,,4,,,4,0,,,,,"removed cuticle from last proleg during molt into 4th. adult wasps were miscounted, should have been 63",,,,,,,,,,,,,,
57,,para,28,0,hs.4,,3/28/18,3/31/18,12:12,1,3/31/18,43.67,4/4/18,215.32,4/7/18,797.63,4/5/18,7:48,8:37,4/10/18,5,0,1993.12,38.00,38,,38,0,,0,,,,38.00,4/11/18,1,1,4/12/18,0,0,4/13/18,0,1,,,,,,,4/16/18,1,17,4/17/18,1,8,2257.99,4/15/18,37,,0,37,24,,13,,,1,1,0,,,,,,,,,,,0,,,,0,,,,1,1,,,0,,,,,"HS chamber program lagged during HS (was still at 28 at 7:44, got to setpoint at 7:48). day 3 post em, had 1 piece of frass, but diet did not look eaten",,,,,,,,,,,,,,
58,,para,28,10,hs.4,,3/28/18,4/1/18,13:47,1,4/1/18,64.91,4/5/18,290.89,4/9/18,1253.06,4/6/18,7:31,8:36,4/15/18,5,0,3910.54,58.00,33,0,33,24,1,25,4/18/18,1,,59.00,4/16/18,0,0,4/17/18,0,0,4/18/18,0,0,4/19/18,0,0,4/20/18,0,2,4/21/18,1,1,4/22/18,0,0,3478.16,4/20/18,5,,0,5,2,,3,,,28,28,0,6,,11,,,,,,1,,0,,,,0,,,,10,,1,9,0,,,,,had 1 wasp larvae emerge but fail to spin 1 day after cocoon removal,,,,,,,,,,,,,,
59,,para,28,10,hs.5,4/16/18,3/28/18,4/1/18,13:53,1,4/1/18,68.7,4/5/18,326.27,4/10/18,1975.06,4/11/18,7:29,8:38,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,removed cuticle from 3rd-5th prolegs after molt to 5th,,,,,,,,,,,,,,
60,,para,28,10,0,,3/28/18,4/1/18,13:58,1,4/1/18,75.35,4/5/18,309.45,4/10/18,1099.16,,,,4/16/18,5,0,2374.13,35.00,25,,25,10,,10,,,13,48.00,,,,4/18/18,0,0,4/19/18,1,1,4/20/18,1,2,4/21/18,1,2,4/22/18,0,0,4/23/18,0,0,2249.45,4/22/18,3,,0,3,3,,0,,,22,22,0,2,,1,,,,6,,5,,5,,3,2,0,,,,3,,1,2,0,,,,,,all late 2nds,,,,,,,,,,,,,
61,,para,28,10,hs.4,4/11/18,3/28/18,4/1/18,13:45,2,4/1/18,56.36,4/5/18,148.53,4/10/18,381.18,4/6/18,7:31,8:36,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"removed cuticle from all prolegs after molt to 5th--anal prolgs damaged, seemed to come off with the cuticle. May not survive",,,,,,,,,,,,,,
